	A
	
	Decaline.Sample.Raw.csv
8417.50842	0.5149
8431.7032	0.4683
8445.94595	0.4226
8460.23689	0.3802
8474.57627	0.3424
8488.96435	0.3091
8503.40136	0.2795
8517.88756	0.2538
8532.42321	0.2314
8547.00855	0.2117
8561.64384	0.1942
8576.32933	0.1782
8591.06529	0.1629
8605.85198	0.1479
8620.68966	0.1329
8635.57858	0.1180
8650.51903	0.1032
8665.51127	0.08931
8680.55556	0.07641
8695.65217	0.06464
8710.80139	0.05408
8726.00349	0.04498
8741.25874	0.03732
8756.56743	0.03090
8771.92982	0.02564
8787.34622	0.02130
8802.8169	0.01764
8818.34215	0.01471
8833.92226	0.01231
8849.55752	0.01028
8865.24823	0.008701
8880.99467	0.007403
8896.79715	0.006440
8912.65597	0.005793
8928.57143	0.005328
8944.54383	0.005064
8960.57348	0.004954
8976.66068	0.004967
8992.80576	0.005011
9009.00901	0.005212
9025.27076	0.005577
9041.59132	0.005847
9057.97101	0.006108
9074.41016	0.006454
9090.90909	0.006837
9107.46812	0.007231
9124.08759	0.007669
9140.76782	0.007960
9157.50916	0.008326
9174.31193	0.008805
9191.17647	0.009189
9208.10313	0.009594
9225.09225	0.01008
9242.14418	0.01053
9259.25926	0.01103
9276.43785	0.01152
9293.6803	0.01197
9310.98696	0.01244
9328.35821	0.01290
9345.79439	0.01346
9363.29588	0.01406
9380.86304	0.01463
9398.49624	0.01512
9416.19586	0.01569
9433.96226	0.01623
9451.79584	0.01679
9469.69697	0.01740
9487.66603	0.01803
9505.70342	0.01859
9523.80952	0.01917
9541.98473	0.01974
9560.22945	0.02021
9578.54406	0.02062
9596.92898	0.02078
9615.38462	0.02085
9633.91137	0.02074
9652.50965	0.02041
9671.17988	0.01988
9689.92248	0.01931
9708.73786	0.01857
9727.62646	0.01767
9746.58869	0.01671
9765.625	0.01562
9784.73581	0.01466
9803.92157	0.01360
9823.18271	0.01249
9842.51969	0.01151
9861.93294	0.01035
9881.42292	0.009287
9900.9901	0.008130
9920.63492	0.006939
9940.35785	0.005731
9960.15936	0.004587
9980.03992	0.003698
10000	0.002787
10020.04008	0.001949
10040.16064	0.001206
10060.36217	5.800E-4
10080.64516	6.200E-5
10101.0101	-3.970E-4
10121.45749	-5.810E-4
10141.98783	-7.520E-4
10162.60163	-8.620E-4
10183.29939	-8.040E-4
10204.08163	-6.590E-4
10224.94888	-3.720E-4
10245.90164	2.500E-5
10266.94045	7.430E-4
10288.06584	0.001483
10309.27835	0.002335
10330.57851	0.003461
10351.96687	0.004734
10373.44398	0.006010
10395.0104	0.007541
10416.66667	0.009243
10438.41336	0.01103
10460.25105	0.01301
10482.18029	0.01534
10504.20168	0.01784
10526.31579	0.02081
10548.52321	0.02405
10570.82452	0.02795
10593.22034	0.03236
10615.71125	0.03702
10638.29787	0.04194
10660.98081	0.04728
10683.76068	0.05238
10706.63812	0.05724
10729.61373	0.06149
10752.68817	0.06478
10775.86207	0.06708
10799.13607	0.06776
10822.51082	0.06690
10845.98698	0.06473
10869.56522	0.06113
10893.24619	0.05639
10917.03057	0.05087
10940.91904	0.04525
10964.91228	0.03939
10989.01099	0.03352
11013.21586	0.02823
11037.52759	0.02350
11061.9469	0.01953
11086.4745	0.01602
11111.11111	0.01328
11135.85746	0.01094
11160.71429	0.008763
11185.68233	0.007027
11210.76233	0.005654
11235.95506	0.004004
11261.26126	0.002752
11286.68172	0.001854
11312.21719	0.001031
11337.86848	1.800E-4
11363.63636	-6.750E-4
11389.52164	-0.001258
11415.52511	-0.001648
11441.6476	-0.002440
11467.88991	-0.002330
11494.25287	-0.002907
11520.73733	-0.003166
11547.34411	-0.002935
11574.07407	-0.003468
11600.92807	-0.003295
11627.90698	-0.02306
11655.01166	-0.004241
11682.24299	-0.004972
11709.60187	-0.003666
11737.0892	-0.005082
11764.70588	-0.004215
11792.45283	-0.004428
11820.33097	-0.004452
11848.34123	-0.004280
11876.48456	-0.004207
11904.7619	-0.004595
11933.17422	-0.004346
11961.72249	-0.004262
11990.40767	-0.004641
12019.23077	-0.004268
12048.19277	-0.004757
12077.29469	-0.004194
12106.53753	-0.004380
12135.92233	-0.004552
12165.45012	-0.004620
