	A
	
	DCM.Sample.Raw.csv
7485.02994	0.04948
7496.25187	0.04095
7507.50751	0.03267
7518.79699	0.02478
7530.12048	0.01772
7541.47813	0.01204
7552.87009	0.007796
7564.29652	0.005271
7575.75758	0.003638
7587.25341	0.002694
7598.78419	0.002056
7610.35008	0.001717
7621.95122	0.001508
7633.58779	0.001362
7645.25994	0.001425
7656.96784	0.001448
7668.71166	0.001465
7680.49155	0.001352
7692.30769	0.001203
7704.16025	9.420E-4
7716.04938	6.830E-4
7727.97527	3.060E-4
7739.93808	-6.100E-5
7751.93798	-3.070E-4
7763.97516	-5.110E-4
7776.04977	-8.330E-4
7788.16199	-0.001053
7800.31201	-0.001125
7812.5	-0.001236
7824.72613	-0.001302
7836.9906	-0.001332
7849.29356	-0.001349
7861.63522	-0.001425
7874.01575	-0.001453
7886.43533	-0.001542
7898.89415	-0.001475
7911.39241	-0.001492
7923.93027	-0.001398
7936.50794	-0.001268
7949.1256	-0.001083
7961.78344	-7.050E-4
7974.48166	-3.400E-4
7987.22045	2.800E-5
8000	4.620E-4
8012.82051	9.360E-4
8025.68218	0.001388
8038.58521	0.001948
8051.52979	0.002498
8064.51613	0.003240
8077.54443	0.004141
8090.61489	0.005137
8103.72771	0.006379
8116.88312	0.007621
8130.0813	0.008894
8143.32248	0.01002
8156.60685	0.01099
8169.93464	0.01168
8183.30606	0.01209
8196.72131	0.01230
8210.18062	0.01245
8223.68421	0.01266
8237.23229	0.01287
8250.82508	0.01322
8264.46281	0.01355
8278.1457	0.01396
8291.87396	0.01459
8305.64784	0.01513
8319.46755	0.01550
8333.33333	0.01562
8347.24541	0.01553
8361.20401	0.01530
8375.20938	0.01500
8389.26174	0.01458
8403.36134	0.01412
8417.50842	0.01371
8431.7032	0.01366
8445.94595	0.01438
8460.23689	0.01606
8474.57627	0.01906
8488.96435	0.02374
8503.40136	0.03091
8517.88756	0.04162
8532.42321	0.05685
8547.00855	0.07741
8561.64384	0.1033
8576.32933	0.1342
8591.06529	0.1702
8605.85198	0.2105
8620.68966	0.2526
8635.57858	0.2929
8650.51903	0.3260
8665.51127	0.3461
8680.55556	0.3504
8695.65217	0.3391
8710.80139	0.3151
8726.00349	0.2821
8741.25874	0.2439
8756.56743	0.2052
8771.92982	0.1701
8787.34622	0.1405
8802.8169	0.1167
8818.34215	0.09840
8833.92226	0.08464
8849.55752	0.07471
8865.24823	0.06832
8880.99467	0.06474
8896.79715	0.06269
8912.65597	0.06075
8928.57143	0.05798
8944.54383	0.05447
8960.57348	0.05039
8976.66068	0.04583
8992.80576	0.04084
9009.00901	0.03527
9025.27076	0.02948
9041.59132	0.02374
9057.97101	0.01858
9074.41016	0.01424
9090.90909	0.01055
9107.46812	0.007344
9124.08759	0.004771
9140.76782	0.002590
9157.50916	0.001053
9174.31193	1.320E-4
9191.17647	-4.060E-4
9208.10313	-6.770E-4
9225.09225	-7.450E-4
9242.14418	-6.900E-4
9259.25926	-5.350E-4
9276.43785	-3.700E-4
9293.6803	-2.750E-4
9310.98696	-8.100E-5
9328.35821	-1.400E-5
9345.79439	1.330E-4
9363.29588	3.510E-4
9380.86304	6.750E-4
9398.49624	9.480E-4
9416.19586	0.001281
9433.96226	0.001589
9451.79584	0.002024
9469.69697	0.002456
9487.66603	0.002814
9505.70342	0.002978
9523.80952	0.003094
9541.98473	0.003068
9560.22945	0.002909
9578.54406	0.002764
9596.92898	0.002540
9615.38462	0.002491
9633.91137	0.002820
9652.50965	0.003492
9671.17988	0.004444
9689.92248	0.005831
9708.73786	0.007446
9727.62646	0.009176
9746.58869	0.01096
9765.625	0.01261
9784.73581	0.01385
9803.92157	0.01442
9823.18271	0.01442
9842.51969	0.01401
9861.93294	0.01313
9881.42292	0.01206
9900.9901	0.01076
9920.63492	0.009426
9940.35785	0.008113
9960.15936	0.006974
9980.03992	0.006350
10000	0.005728
10020.04008	0.005429
10040.16064	0.005020
10060.36217	0.004511
10080.64516	0.004166
10101.0101	0.003784
10121.45749	0.003285
10141.98783	0.002816
10162.60163	0.002148
10183.29939	0.001545
10204.08163	9.720E-4
10224.94888	3.300E-4
10245.90164	-2.310E-4
10266.94045	-5.910E-4
10288.06584	-9.110E-4
10309.27835	-0.001288
10330.57851	-0.001489
10351.96687	-0.001679
10373.44398	-0.001871
10395.0104	-0.001875
10416.66667	-0.001955
10438.41336	-0.002166
10460.25105	-0.002185
10482.18029	-0.002274
10504.20168	-0.002442
10526.31579	-0.002391
10548.52321	-0.002475
