	A
	
	CCl4.Sample.Raw.csv
344	0.001928
342	0.001916
340	0.002035
338	0.002106
336	0.002409
334	0.002393
332	0.002731
330	0.002783
328	0.003526
326	0.003224
324	0.003191
322	0.003568
320	0.003891
318	0.003461
316	0.003356
314	0.003568
312	0.003682
310	0.004338
308	0.004383
306	0.004310
304	0.004643
302	0.005500
300	0.005606
298	0.006450
296	0.007187
294	0.008813
292	0.01045
290	0.01290
288	0.01604
286	0.02086
284	0.02744
282	0.03624
280	0.04911
278	0.06683
276	0.09231
274	0.1286
272	0.1800
270	0.2535
268	0.3585
266	0.5067
264	0.7164
262	1.013
260	1.433
258	2.019
256	2.826
254	3.932
252	3.969
250	3.969
248	3.969
246	3.969
244	3.969
242	3.969
240	3.969
238	3.969
236	3.969
234	3.969
232	3.969
230	3.969
228	3.969
226	3.969
224	3.969
222	3.969
220	3.969
218	3.969
216	3.969
214	3.969
212	3.969
210	3.969
208	3.969
206	3.969
204	3.969
202	3.969
200	3.969
	-0.004084
