	A
	
	DCM.Sample.Raw.csv
718	-7.510E-4
716	-0.001298
714	-0.001587
712	-0.002013
710	-0.002293
708	-0.002294
706	-0.002302
704	-0.002481
702	-0.002477
700	-0.002338
698	-0.002252
696	-0.002282
694	-0.002380
692	-0.002688
690	-0.002622
688	-0.002515
686	-0.002377
684	-0.002236
682	-0.002223
680	-0.002263
678	-0.002304
676	-0.002369
674	-0.002348
672	-0.002358
670	-0.002436
668	-0.002446
666	-0.002463
664	-0.002276
662	-0.002232
660	-0.002373
658	-0.002498
656	-0.002415
654	-0.002346
652	-0.002330
650	-0.002224
648	-0.002291
646	-0.002376
644	-0.002384
642	-0.002320
640	-0.002353
638	-0.002470
636	-0.002356
634	-0.002219
632	-0.002359
630	-0.002342
628	-0.002189
626	-0.002134
624	-0.002143
622	-0.002047
620	-0.001988
618	-0.001908
616	-0.001708
614	-0.001749
612	-0.001945
610	-0.002070
608	-0.001971
606	-0.001949
604	-0.002085
602	-0.002098
600	-0.002082
598	-0.002091
596	-0.002027
594	-0.002152
592	-0.002063
590	-0.001845
588	-0.001853
586	-0.001987
584	-0.001899
582	-0.001841
580	-0.001951
578	-0.001829
576	-0.001890
574	-0.001918
572	-0.001871
570	-0.001840
568	-0.001850
566	-0.001889
564	-0.001863
562	-0.001773
560	-0.001665
558	-0.001821
556	-0.001922
554	-0.001908
552	-0.001914
550	-0.001768
548	-0.001747
546	-0.001635
544	-0.001648
542	-0.001666
540	-0.001620
538	-0.001705
536	-0.001708
534	-0.001747
532	-0.001570
530	-0.001453
528	-0.001509
526	-0.001517
524	-0.001533
522	-0.001521
520	-0.001548
518	-0.001564
516	-0.001626
514	-0.001352
512	-0.001391
510	-0.001273
508	-0.001184
506	-0.001052
504	-0.001195
502	-0.001241
500	-0.001126
498	-9.770E-4
496	-0.001024
494	-9.710E-4
492	-9.500E-4
490	-0.001037
488	-8.900E-4
486	-9.210E-4
484	-7.550E-4
482	-8.170E-4
480	-4.380E-4
478	-4.900E-4
476	-5.650E-4
474	-5.020E-4
472	-4.980E-4
470	-4.810E-4
468	-2.600E-4
466	-2.420E-4
464	-4.620E-4
462	-2.790E-4
460	-3.760E-4
458	-4.160E-4
456	-3.310E-4
454	-4.550E-4
452	-1.730E-4
450	-1.950E-4
448	-1.380E-4
446	-6.000E-6
444	-3.530E-4
442	-1.610E-4
440	-1.860E-4
438	-2.920E-4
436	-3.470E-4
434	-2.690E-4
432	4.800E-5
430	-1.450E-4
428	-5.300E-5
426	-2.150E-4
424	-1.200E-4
422	-2.120E-4
420	-7.900E-5
418	-1.150E-4
416	-2.080E-4
414	-1.270E-4
412	-1.390E-4
410	-2.590E-4
408	7.700E-5
406	-4.200E-5
404	1.050E-4
402	1.900E-4
400	5.500E-5
398	3.190E-4
396	9.100E-5
394	5.770E-4
392	2.150E-4
390	4.050E-4
388	3.500E-4
386	8.860E-4
384	5.590E-4
382	4.850E-4
380	8.430E-4
378	0.001047
376	0.001238
374	8.890E-4
372	0.001261
370	9.510E-4
368	0.001060
366	0.001527
364	0.001085
362	0.001504
360	0.001595
358	0.001927
356	0.001865
354	0.001562
352	0.001681
350	0.001714
348	0.001973
346	0.002369
344	0.002107
342	0.002379
340	0.002504
338	0.002328
336	0.002813
334	0.002804
332	0.003192
330	0.003353
328	0.003881
326	0.003943
324	0.003833
322	0.004279
320	0.004617
318	0.004607
316	0.004254
314	0.004159
312	0.004509
310	0.004601
308	0.005029
306	0.004918
304	0.005021
302	0.005371
300	0.005325
298	0.005648
296	0.005797
294	0.006285
292	0.006403
290	0.007118
288	0.008617
286	0.01090
284	0.01253
282	0.01345
280	0.01413
278	0.01462
276	0.01519
274	0.01590
272	0.01555
270	0.01479
268	0.01449
266	0.01466
264	0.01434
262	0.01389
260	0.01427
258	0.01479
256	0.01605
254	0.01770
252	0.02073
250	0.02547
248	0.03294
246	0.04473
244	0.06376
242	0.09499
240	0.1452
238	0.2258
236	0.3521
234	0.5497
232	0.8576
230	1.331
228	2.058
226	3.155
224	3.969
222	3.969
220	3.969
218	3.969
216	3.969
214	3.969
212	3.969
210	3.969
208	3.969
206	3.969
204	3.969
202	3.969
200	3.969

